invoice_id,product_code,description,volume,date,unit_price,customer_id
544601,22440,BALLOON WATER BOMB PACK OF 35,20,2019-12-31,10.08,16638
544601,21829,DINOSAUR KEYRINGS ASSORTED,36,2019-12-31,5.04,16638
544601,23230,WRAP ALPHABET DESIGN,25,2019-12-31,10.08,16638
544601,22492,MINI PAINT SET VINTAGE,36,2019-12-31,15.60,16638
544602,22998,TRAVEL CARD WALLET KEEP CALM,24,2019-12-31,10.08,13767
544602,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2019-12-31,40.56,13767
544602,22423,REGENCY CAKESTAND 3 TIER,16,2019-12-31,262.80,13767
544605,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,144,2019-12-31,13.20,17512
544606,85099B,JUMBO BAG RED RETROSPOT,100,2019-12-31,39.60,14520
544607,22084,PAPER CHAIN KIT EMPIRE,6,2019-12-31,70.80,13862
544607,22993,SET OF 4 PANTRY JELLY MOULDS,12,2019-12-31,30.00,13862
544607,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2019-12-31,13.20,13862
544607,84992,72 SWEETHEART FAIRY CAKE CASES,24,2019-12-31,13.20,13862
544607,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2019-12-31,13.20,13862
544607,22961,JAM MAKING SET PRINTED,12,2019-12-31,34.80,13862
544610,84988,SET OF 72 PINK HEART PAPER DOILIES,12,2019-12-31,34.80,16912
544611,22998,TRAVEL CARD WALLET KEEP CALM,24,2019-12-31,10.08,16912
544612,22053,EMPIRE DESIGN ROSETTE,3906,2019-12-31,19.68,18087
544633,22151,PLACE SETTING WHITE HEART,24,2019-12-31,10.08,17315
544633,84978,HANGING HEART JAR T-LIGHT HOLDER,72,2019-12-31,25.44,17315
544634,22998,TRAVEL CARD WALLET KEEP CALM,24,2019-12-31,10.08,17994
544634,20728,LUNCH BAG CARS BLUE,10,2019-12-31,39.60,17994
544634,22383,LUNCH BAG SUKI DESIGN,5,2019-12-31,39.60,17994
544634,20725,LUNCH BAG RED RETROSPOT,5,2019-12-31,39.60,17994
544634,22384,LUNCH BAG PINK POLKADOT,3,2019-12-31,39.60,17994
544634,22382,LUNCH BAG SPACEBOY DESIGN,10,2019-12-31,39.60,17994
C544635,22993,SET OF 4 PANTRY JELLY MOULDS,-12,2019-12-31,30.00,18257
544637,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2019-12-31,13.20,16546
544637,21977,PACK OF 60 PINK PAISLEY CAKE CASES,36,2019-12-31,13.20,16546
544638,22998,TRAVEL CARD WALLET KEEP CALM,24,2019-12-31,10.08,14688
544638,22090,PAPER BUNTING RETROSPOT,6,2019-12-31,70.80,14688
544638,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2019-12-31,13.20,14688
544643,22969,HOMEMADE JAM SCENTED CANDLES,12,2019-12-31,34.80,13038
544643,22961,JAM MAKING SET PRINTED,12,2019-12-31,34.80,13038
544644,84978,HANGING HEART JAR T-LIGHT HOLDER,36,2019-12-31,25.44,17002
544644,84946,ANTIQUE SILVER TEA GLASS ETCHED,24,2019-12-31,30.00,17002
544645,20726,LUNCH BAG WOODLAND,20,2019-12-31,39.60,16843
544645,22382,LUNCH BAG SPACEBOY DESIGN,20,2019-12-31,39.60,16843
544645,22662,LUNCH BAG DOLLY GIRL DESIGN,20,2019-12-31,39.60,16843
544645,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2019-12-31,39.60,16843
544645,22492,MINI PAINT SET VINTAGE,36,2019-12-31,15.60,16843
544645,22630,DOLLY GIRL LUNCH BOX,12,2019-12-31,46.80,16843
544645,22629,SPACEBOY LUNCH BOX,12,2019-12-31,46.80,16843
544645,22969,HOMEMADE JAM SCENTED CANDLES,24,2019-12-31,34.80,16843
544646,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2019-12-31,46.80,17075
